Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bacillus subtilis isolate NRS6145 genome assembly, chromosome: NRS6145_1",Bacillus subtilis,921,921,100%,0.0,100.00,4085688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419565.1?report=genbank&log$=nucltop&blast_rank=91&RID=7ZWKD9BG015"",""OX419565.1"")"
"Bacillus subtilis strain DSM 10 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4211264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP149576.1?report=genbank&log$=nucltop&blast_rank=92&RID=7ZWKD9BG015"",""CP149576.1"")"
"Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10 strain NCIB 3610 chromosome, complete genome",Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,921,921,100%,0.0,100.00,4211262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP034484.1?report=genbank&log$=nucltop&blast_rank=93&RID=7ZWKD9BG015"",""CP034484.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP046, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3266741,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116860.1?report=genbank&log$=nucltop&blast_rank=94&RID=7ZWKD9BG015"",""CP116860.1"")"
Bacillus subtilis subsp. subtilis strain QB5412 genome,Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4217945,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP017312.1?report=genbank&log$=nucltop&blast_rank=95&RID=7ZWKD9BG015"",""CP017312.1"")"
"Bacillus subtilis strain PRO115 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4140506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120598.2?report=genbank&log$=nucltop&blast_rank=96&RID=7ZWKD9BG015"",""CP120598.2"")"
"Bacillus subtilis isolate NRS6121 genome assembly, chromosome: NRS6121_1",Bacillus subtilis,921,921,100%,0.0,100.00,4123859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419575.1?report=genbank&log$=nucltop&blast_rank=97&RID=7ZWKD9BG015"",""OX419575.1"")"
Bacillus subtilis strain GS 188 genome,Bacillus subtilis,921,921,100%,0.0,100.00,4215606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022391.1?report=genbank&log$=nucltop&blast_rank=98&RID=7ZWKD9BG015"",""CP022391.1"")"
"Bacillus subtilis subsp. subtilis isolate FELIX_MS9 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4224675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP157084.1?report=genbank&log$=nucltop&blast_rank=99&RID=7ZWKD9BG015"",""CP157084.1"")"
"Bacillus subtilis strain GOT9 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4119195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP047325.1?report=genbank&log$=nucltop&blast_rank=100&RID=7ZWKD9BG015"",""CP047325.1"")"
"Bacillus subtilis strain M51 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP170734.1?report=genbank&log$=nucltop&blast_rank=101&RID=7ZWKD9BG015"",""CP170734.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP027, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3412542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116863.1?report=genbank&log$=nucltop&blast_rank=102&RID=7ZWKD9BG015"",""CP116863.1"")"
"Bacillus subtilis strain YZSR384 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102769.1?report=genbank&log$=nucltop&blast_rank=103&RID=7ZWKD9BG015"",""CP102769.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP022, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3468246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116864.1?report=genbank&log$=nucltop&blast_rank=104&RID=7ZWKD9BG015"",""CP116864.1"")"
"Bacillus subtilis subsp. subtilis strain 3NA, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4195102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP010314.1?report=genbank&log$=nucltop&blast_rank=105&RID=7ZWKD9BG015"",""CP010314.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP008, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3684279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116867.1?report=genbank&log$=nucltop&blast_rank=106&RID=7ZWKD9BG015"",""CP116867.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP003, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3765159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116868.1?report=genbank&log$=nucltop&blast_rank=107&RID=7ZWKD9BG015"",""CP116868.1"")"
"Mutant Bacillus subtilis subsp. subtilis isolate FELIX_MS21 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4215578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP157214.1?report=genbank&log$=nucltop&blast_rank=108&RID=7ZWKD9BG015"",""CP157214.1"")"
"Bacillus subtilis strain BS34A genome assembly, chromosome: I",Bacillus subtilis,921,921,100%,0.0,100.00,4233615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN680001.1?report=genbank&log$=nucltop&blast_rank=109&RID=7ZWKD9BG015"",""LN680001.1"")"
"Bacillus subtilis strain P8_B1 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045922.1?report=genbank&log$=nucltop&blast_rank=110&RID=7ZWKD9BG015"",""CP045922.1"")"
"Bacillus subtilis strain SP1 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058242.1?report=genbank&log$=nucltop&blast_rank=111&RID=7ZWKD9BG015"",""CP058242.1"")"
"Bacillus subtilis genome assembly BS49Ch, chromosome : I",Bacillus subtilis,921,921,100%,0.0,100.00,4251652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN649259.1?report=genbank&log$=nucltop&blast_rank=112&RID=7ZWKD9BG015"",""LN649259.1"")"
"Bacillus subtilis strain SRCM102750 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4098278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP028215.1?report=genbank&log$=nucltop&blast_rank=113&RID=7ZWKD9BG015"",""CP028215.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP029, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3367150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116862.1?report=genbank&log$=nucltop&blast_rank=114&RID=7ZWKD9BG015"",""CP116862.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS513, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148122.1?report=genbank&log$=nucltop&blast_rank=115&RID=7ZWKD9BG015"",""CP148122.1"")"
"Bacillus subtilis strain RUB331 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4147684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP101937.1?report=genbank&log$=nucltop&blast_rank=116&RID=7ZWKD9BG015"",""CP101937.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS620, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148128.1?report=genbank&log$=nucltop&blast_rank=117&RID=7ZWKD9BG015"",""CP148128.1"")"
"Bacillus subtilis subsp. subtilis str. JH642 substr. AG174, complete genome",Bacillus subtilis subsp. subtilis str. JH642 substr. AG174,921,921,100%,0.0,100.00,4188369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP007800.1?report=genbank&log$=nucltop&blast_rank=118&RID=7ZWKD9BG015"",""CP007800.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP254, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2725493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116828.1?report=genbank&log$=nucltop&blast_rank=119&RID=7ZWKD9BG015"",""CP116828.1"")"
"Bacillus subtilis subsp. natto strain BN-P15-11-1 chromosome, complete genome",Bacillus subtilis subsp. natto,921,921,100%,0.0,100.00,3982436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP132912.1?report=genbank&log$=nucltop&blast_rank=120&RID=7ZWKD9BG015"",""CP132912.1"")"
"Bacillus subtilis strain TR21 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4105857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP046592.1?report=genbank&log$=nucltop&blast_rank=121&RID=7ZWKD9BG015"",""CP046592.1"")"
"Bacillus subtilis subsp. subtilis str. SMY chromosome, complete genome",Bacillus subtilis subsp. subtilis str. SMY,921,921,100%,0.0,100.00,4212427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050532.1?report=genbank&log$=nucltop&blast_rank=122&RID=7ZWKD9BG015"",""CP050532.1"")"
"Bacillus subtilis strain PY79 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4048339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159912.1?report=genbank&log$=nucltop&blast_rank=123&RID=7ZWKD9BG015"",""CP159912.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP221, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2839728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116832.1?report=genbank&log$=nucltop&blast_rank=124&RID=7ZWKD9BG015"",""CP116832.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP193, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2868058,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116833.1?report=genbank&log$=nucltop&blast_rank=125&RID=7ZWKD9BG015"",""CP116833.1"")"
"Bacillus subtilis strain cel chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4117239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP172966.1?report=genbank&log$=nucltop&blast_rank=126&RID=7ZWKD9BG015"",""CP172966.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP184, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2874557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116834.1?report=genbank&log$=nucltop&blast_rank=127&RID=7ZWKD9BG015"",""CP116834.1"")"
"Bacillus subtilis strain SRCM115947 chromosome, complete genome",Bacillus subtilis,921,968,100%,0.0,100.00,4148036,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP103351.1?report=genbank&log$=nucltop&blast_rank=128&RID=7ZWKD9BG015"",""CP103351.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP129, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3048725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116838.1?report=genbank&log$=nucltop&blast_rank=129&RID=7ZWKD9BG015"",""CP116838.1"")"
"Bacillus subtilis subsp. subtilis NBRC 13719 DNA, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4211090,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019714.1?report=genbank&log$=nucltop&blast_rank=130&RID=7ZWKD9BG015"",""AP019714.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP013, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3601369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116866.1?report=genbank&log$=nucltop&blast_rank=131&RID=7ZWKD9BG015"",""CP116866.1"")"
"Bacillus subtilis strain GUCC4 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP139440.1?report=genbank&log$=nucltop&blast_rank=132&RID=7ZWKD9BG015"",""CP139440.1"")"
"Bacillus subtilis strain NDmed chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4105013,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP183238.1?report=genbank&log$=nucltop&blast_rank=133&RID=7ZWKD9BG015"",""CP183238.1"")"
Bacillus subtilis strain PLSSC chromosome,Bacillus subtilis,921,921,100%,0.0,100.00,4204770,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP031129.1?report=genbank&log$=nucltop&blast_rank=134&RID=7ZWKD9BG015"",""CP031129.1"")"
"Bacillus subtilis strain YPS-32 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4084795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP080629.1?report=genbank&log$=nucltop&blast_rank=135&RID=7ZWKD9BG015"",""CP080629.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS521, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4214775,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148124.1?report=genbank&log$=nucltop&blast_rank=136&RID=7ZWKD9BG015"",""CP148124.1"")"
"Bacillus subtilis subsp. subtilis strain KCTC 3135 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4211343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015375.1?report=genbank&log$=nucltop&blast_rank=137&RID=7ZWKD9BG015"",""CP015375.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP016, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3523337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116865.1?report=genbank&log$=nucltop&blast_rank=138&RID=7ZWKD9BG015"",""CP116865.1"")"
"Bacillus subtilis strain DSM 10 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120681.2?report=genbank&log$=nucltop&blast_rank=139&RID=7ZWKD9BG015"",""CP120681.2"")"
"Bacillus subtilis strain ZKY06 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4105826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125981.1?report=genbank&log$=nucltop&blast_rank=140&RID=7ZWKD9BG015"",""CP125981.1"")"
"Bacillus subtilis PY79, complete genome",Bacillus subtilis PY79,921,921,100%,0.0,100.00,4033459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006881.1?report=genbank&log$=nucltop&blast_rank=141&RID=7ZWKD9BG015"",""CP006881.1"")"
"Bacillus subtilis subsp. subtilis strain DSM 10 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4215636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP060710.1?report=genbank&log$=nucltop&blast_rank=142&RID=7ZWKD9BG015"",""CP060710.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP058, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3193378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116858.1?report=genbank&log$=nucltop&blast_rank=143&RID=7ZWKD9BG015"",""CP116858.1"")"
"Bacillus subtilis strain SRCM103551 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4051556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035230.1?report=genbank&log$=nucltop&blast_rank=144&RID=7ZWKD9BG015"",""CP035230.1"")"
"Bacillus subtilis strain 2014-3557 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4240660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045672.1?report=genbank&log$=nucltop&blast_rank=145&RID=7ZWKD9BG015"",""CP045672.1"")"
Bacillus subtilis 300-304 degree genomic sequence,Bacillus subtilis,921,921,100%,0.0,100.00,47739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF017113.1?report=genbank&log$=nucltop&blast_rank=146&RID=7ZWKD9BG015"",""AF017113.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS886, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4217171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP137711.1?report=genbank&log$=nucltop&blast_rank=147&RID=7ZWKD9BG015"",""CP137711.1"")"
"Bacillus subtilis isolate NRS6153 genome assembly, chromosome: NRS6153_1",Bacillus subtilis,921,921,100%,0.0,100.00,4215744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419563.1?report=genbank&log$=nucltop&blast_rank=148&RID=7ZWKD9BG015"",""OX419563.1"")"
"Bacillus subtilis KCTC 1028, complete genome",Bacillus subtilis KCTC 1028 = ATCC 6051a,921,921,100%,0.0,100.00,4215633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP011115.1?report=genbank&log$=nucltop&blast_rank=149&RID=7ZWKD9BG015"",""CP011115.1"")"
"Bacillus subtilis subsp. subtilis str. AG1839, complete genome",Bacillus subtilis subsp. subtilis str. AG1839,921,921,100%,0.0,100.00,4193640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP008698.1?report=genbank&log$=nucltop&blast_rank=150&RID=7ZWKD9BG015"",""CP008698.1"")"
"Bacillus subtilis subsp. subtilis strain UCMB5021 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4060035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP051466.1?report=genbank&log$=nucltop&blast_rank=151&RID=7ZWKD9BG015"",""CP051466.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS504, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4214564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148112.1?report=genbank&log$=nucltop&blast_rank=152&RID=7ZWKD9BG015"",""CP148112.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP075, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3122327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116855.1?report=genbank&log$=nucltop&blast_rank=153&RID=7ZWKD9BG015"",""CP116855.1"")"
"Bacillus subtilis isolate NRS6134 genome assembly, chromosome: NRS6134_1",Bacillus subtilis,921,921,100%,0.0,100.00,4158963,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419570.1?report=genbank&log$=nucltop&blast_rank=154&RID=7ZWKD9BG015"",""OX419570.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP237, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2803721,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116845.1?report=genbank&log$=nucltop&blast_rank=155&RID=7ZWKD9BG015"",""CP116845.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP071, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3149926,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116841.1?report=genbank&log$=nucltop&blast_rank=156&RID=7ZWKD9BG015"",""CP116841.1"")"
"Bacillus subtilis strain N1282-4at chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP064093.1?report=genbank&log$=nucltop&blast_rank=157&RID=7ZWKD9BG015"",""CP064093.1"")"
"Bacillus subtilis BEST7003 DNA, complete genome",Bacillus subtilis BEST7003,921,921,100%,0.0,100.00,4043042,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP012496.1?report=genbank&log$=nucltop&blast_rank=158&RID=7ZWKD9BG015"",""AP012496.1"")"
Bacillus subtilis strain SASAF1 chromosome,Bacillus subtilis,921,921,100%,0.0,100.00,4266306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP195112.1?report=genbank&log$=nucltop&blast_rank=159&RID=7ZWKD9BG015"",""CP195112.1"")"
"Bacillus subtilis strain N1108-5at chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP064094.1?report=genbank&log$=nucltop&blast_rank=160&RID=7ZWKD9BG015"",""CP064094.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain Master_strain, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3981853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116870.1?report=genbank&log$=nucltop&blast_rank=161&RID=7ZWKD9BG015"",""CP116870.1"")"
"Bacillus subtilis strain PY79 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4038446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159874.1?report=genbank&log$=nucltop&blast_rank=162&RID=7ZWKD9BG015"",""CP159874.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP086, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3122330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116840.1?report=genbank&log$=nucltop&blast_rank=163&RID=7ZWKD9BG015"",""CP116840.1"")"
"Bacillus subtilis strain WB800N chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4214174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032310.1?report=genbank&log$=nucltop&blast_rank=164&RID=7ZWKD9BG015"",""CP032310.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS509, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148117.1?report=genbank&log$=nucltop&blast_rank=165&RID=7ZWKD9BG015"",""CP148117.1"")"
"Bacillus subtilis BEST3102 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4195012,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024623.1?report=genbank&log$=nucltop&blast_rank=166&RID=7ZWKD9BG015"",""AP024623.1"")"
"Bacillus subtilis strain 23-1 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4279541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP106791.1?report=genbank&log$=nucltop&blast_rank=167&RID=7ZWKD9BG015"",""CP106791.1"")"
"Bacillus subtilis isolate NRS6116 genome assembly, chromosome: NRS6116_1",Bacillus subtilis,921,921,100%,0.0,100.00,4307899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419580.1?report=genbank&log$=nucltop&blast_rank=168&RID=7ZWKD9BG015"",""OX419580.1"")"
"Bacillus subtilis strain SZMC 6179J isolate B23 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4195195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015004.1?report=genbank&log$=nucltop&blast_rank=169&RID=7ZWKD9BG015"",""CP015004.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP098, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3093577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116854.1?report=genbank&log$=nucltop&blast_rank=170&RID=7ZWKD9BG015"",""CP116854.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP212, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2839791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116847.1?report=genbank&log$=nucltop&blast_rank=171&RID=7ZWKD9BG015"",""CP116847.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP148, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2938214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116836.1?report=genbank&log$=nucltop&blast_rank=172&RID=7ZWKD9BG015"",""CP116836.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP001, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3853702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116869.1?report=genbank&log$=nucltop&blast_rank=173&RID=7ZWKD9BG015"",""CP116869.1"")"
"Mutant Bacillus subtilis subsp. subtilis isolate FELIX_MS22 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4220251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP157216.1?report=genbank&log$=nucltop&blast_rank=174&RID=7ZWKD9BG015"",""CP157216.1"")"
"Bacillus subtilis strain SRCM103696 chromosome, complete genome",Bacillus subtilis,912,960,100%,0.0,99.80,4035212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035394.1?report=genbank&log$=nucltop&blast_rank=175&RID=7ZWKD9BG015"",""CP035394.1"")"
"Bacillus subtilis strain 4ZT chromosome, complete genome",Bacillus subtilis,907,954,100%,0.0,99.41,4085561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP104878.1?report=genbank&log$=nucltop&blast_rank=176&RID=7ZWKD9BG015"",""CP104878.1"")"
"Bacillus subtilis strain KC14-1 chromosome, complete genome",Bacillus subtilis,907,954,100%,0.0,99.41,3908079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP103328.1?report=genbank&log$=nucltop&blast_rank=177&RID=7ZWKD9BG015"",""CP103328.1"")"
Bacillus subtilis strain MARUCO01 chromosome,Bacillus subtilis,907,907,100%,0.0,99.41,4056765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107539.1?report=genbank&log$=nucltop&blast_rank=178&RID=7ZWKD9BG015"",""CP107539.1"")"
"Bacillus subtilis strain SRCM103773 chromosome, complete genome",Bacillus subtilis,907,954,100%,0.0,99.41,4052954,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035397.1?report=genbank&log$=nucltop&blast_rank=179&RID=7ZWKD9BG015"",""CP035397.1"")"
